"url","title","description","image"
"http://crussh.com/powered-by-plants","Powered by plants! - Crussh","Health, Fitness, Fit Food, Raw Juice, Juice, Delivery, Protein, Vegan, Food, London, Cafe, Health Food, Healthy","http://crussh.com/wp-content/uploads/2019/01/Powered-by-plants.jpg"
"https://www.tesco.com/groceries/en-GB/zone/wicked-kitchen/","Wicked Kitchen","Wicked Kitchen is a new, bold and innovative way for you to experience the power of mighty plant flavours unleashed. Wicked Kitchen is a radical new concept developed by pioneering chef Derek Sarno, in collaboration with Tesco. It's about putting plant-based food front and centre in a creative and amazing way.",
"https://www.beyondmeat.com/","Beyond Meat - The Future of Protein™",,
"https://www.undercurrentnews.com/2017/07/28/tesco-collaborates-with-turkish-bass-bream-farmers-uk-processors-on-new-humane-slaughtering-method/","Tesco collaborates with Turkish bass, bream farmers, UK processors on new ‘humane’ slaughtering method","Turkey’s largest bass and bream farmer Kilic is currently testing the new slaughtering system developed by Tesco and will kick it off soon for 1,000t of production
","https://js.undercurrentnews.com/wp-content/uploads/2013/12/TESCO-300x204.jpg"
"https://www.adweek.com/brand-marketing/story-behind-one-most-beautiful-real-moments-advertising-158478/","Sucuri WebSite Firewall - Access Denied",,
"https://edition.cnn.com/travel/article/aeromexico-dna-discount-travel-ad-video/index.html","AeroMexico's new 'DNA Discount' ad goes viral","AeroMexico, the country's national carrier, unveils a program called ""DNA Discounts,"" which offers airfare cuts on flights to Americans who can prove they have Mexican DNA.","https://dynaimage.cdn.cnn.com/cnn/w_1200/http%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F190117170259-01-aeromexico-dna-ad-super-tease.jpg"
"https://www.thequint.com/lifestyle/life/ariels-share-the-load-campaign-gender-disparity-video","This Ariel Video Shows You How Change Begins at Home","Are we teaching our sons what we have been teaching our daughters?","https://images.assettype.com/thequint/2019-01/1f07facb-6e75-481c-915b-c12c6a7eac4c/ariel.JPG"
"https://driving.ca/bmw/7-series/auto-news/news/how-it-works-bmw-gesture-control","How It Works: BMW’s Gesture Control","Hand gestures join steering wheel buttons, dials and touchscreens as yet another form of control","https://postmediadriving.files.wordpress.com/2016/08/bmw_gesture2-02.png?w=600&h=315&crop=1&quality=80&strip=all"
"https://www.leapmotion.com/","Leap Motion","Reach into the future of virtual and augmented reality with the most advanced hand tracking on Earth, used by over 300,000 developers worldwide.",
"http://www.inui-studio.com","iNUI STUDIO","Banking Solutions · Digital Signage · Innovation · Custom Development · Based in Luxembourg.","http://www.inui-studio.com/assets/img/og/inui-studio.jpg"
"https://www.slu.edu/news/2018/august/slu-alexa-project.php","SLU Alexa Project","Leading-edge technology will better connect students with campus life at SLU","https://www.slu.edu/img/social/slu-social.png"
"https://www.goodnes.com/","Home Page | Goodnes",,"https://www.goodnes.com/sites/site.prod1.goodnes.com/files/holiday-bites-marquee-slide-1024x550_0.jpg"
"https://atap.google.com/jacquard/","Home – Jacquard by Google","Simple, seamless connectivity woven into your everyday essentials.","https://lh3.googleusercontent.com/AGvz02WyfWeBkTNdxFHOcvqSjatETqXcP1NLp61jyMAaDSSdv8SYgWyPvrOVZn5caY9aQ8WFDQs8oJCkycOs=w1200"
"https://www.cloudflare.com/learning/dns/what-is-1.1.1.1/","What is 1.1.1.1? | Cloudflare ","1.1.1.1 is a public DNS resolver that provides a fast and private way to browse the Internet.","https://www.cloudflare.com/img/learning/og-images/security-pattern.png"
"http://www.gifts-today.co.uk/news/carrefour_launches_afterwork_pickup_point_for_belgian_office_workers.aspx","Carrefour launches after-work pick-up point for Belgian office workers | Gifts Today","Lema Publishing",
"http://www.carrefour.com/current-news/carrefour-drive-opens-a-first-pick-up-point-on-a-technology-campus-in-belgium","Carrefour Drive opens a first pick-up point on a technology campus in Belgium","Carrefour Drive opens a first pick-up point on a technology campus in Belgium","/sites/all/themes/carrefourcom/images/Carrefour_logo_158x197.jpg"
"https://medium.com/@jinghanhao/experiencing-new-retail-in-china-hema-fresh-a5ba4c94da22","Experiencing new retail in China: Hema Fresh – Jinghan Hao – Medium","Recently, my mom has been raving about a new grocery store opened in my hometown.","https://cdn-images-1.medium.com/max/1200/1*-bAXY-NBBJ-Yhy-XIaNofw.jpeg"
"https://www.inc.com/bill-murphy-jr/amazon-is-recruiting-entrepreneurs-to-local-start-delivery-companies-heres-why-i-think-some-people-could-get-rich.html","Amazon Is Recruiting Entrepreneurs to Start Local Delivery Companies. Here's Why I Think Some People Could Get Rich","There's risk in any business. But if you asked me to invest in a business with these built-in advantages, I'd certainly listen.","https://www.incimages.com/uploaded_files/image/970x450/getty_507315991_361781.jpg"
"https://econsultancy.com/11-examples-of-marketing-campaigns-starring-youtubers/","11 examples of marketing campaigns starring YouTubers – Econsultancy","To people of my age, the idea of someone being famous for having a YouTube channel is faintly ridiculous.
And the fact that some of them have gained millions of fans and earned millions of dollars just by posting videos of themselves playing computer games... well, it makes me very sad.",
"https://tubularlabs.com/","Tubular Labs - Video intelligence to help grow and monetize your business","Tubular is the world-leader in social video analytics and sponsored video intelligence to help you grow and monetize your business.","http://tubularlabs.com/wp-content/uploads/2017/12/Tubular-Social-Sharing-Image-Facebook@1x.jpg"
"https://www.eatizz.com/en/","Eatizz: Stop food waste","Eatizz: Stop food waste, last-minute discounts",
"https://www.ibm.com/blockchain/solutions/food-trust","IBM Food Trust","IBM Food Trust uses blockchain technology to improve transparency, standardization and efficiency throughout the food supply chain. Collaborate and connect with other network participants to share data through a holistic food supply chain solution.","https://1.cms.s81c.com/sites/default/files/2019-01-07/Leadspace%20final2.jpg"
"http://www.emulsar.com/","Emulsar | la solution en émulsion",,
"https://www.cogap.de/en","CoGAP Gen-Diaet",,
"https://www.nutrinohealth.com/","Nutrino",,
"https://thea2milkcompany.com/","The a2 Milk Company","The a2 Milk Company™ is in the business of pioneering a2 Milk™ and making its unique health benefits understood and available to everybody around the world","https://thea2milkcompany.com/wp-content/uploads/a2_Rel1_Aus_TM_FullCol_small.png"
"https://www.traxretail.com/","Image Recognition for Retail and Consumer Goods | Trax","Improve your in-store retail execution and audits with image recognition technology that turns everyday shelf images into real-time actionable insights.",
"https://www.eyeconic.com/help-me/virtual-try-on","Virtual Try-On Tool for Glasses & Sunglasses – Eyeconic","Use a webcam to see what you'd look like in any pair of glasses, then share with friends. Shopping for glasses online is easy with our Virtual Try-On tool.",
"https://www.warbyparker.com","Glasses & Prescription Eyeglasses | Warby Parker","Prescription eyeglasses starting at $95. Find a new pair today with our free Home Try-On program. Fast, free shipping both ways. For every pair sold, a pair is distributed to someone in need.","https://i.warbycdn.com/v/c/assets/social/image/fbopengraph/0/1517ab2f62/1200x627/0ca6.jpg"
"https://www.youtube.com/channel/UCGYyLEdGEQjVVfwlzOB5Kng","Worten Wortubers"," ","https://yt3.ggpht.com/a-/AAuE7mBzLvB6Im_rSuK6yy2qbvTKqxRFuXhrUdIHrg=s900-mo-c-c0xffffffff-rj-k-no"
"https://www.sensei.tech/","Sensei",,
"https://www.30secondstofly.com/","30SecondsToFly | Your Virtual Travel Assistant powered by A.I.","A data driven travel management solution for business travelers. Ask Claire, your personal travel chatbot to book your next business trip!",
"https://shelf.ai/","shelf.ai | AI powered e-commerce.","We bring artificial intelligence to e-commerce, empowering grocery retailers to engage directly with customers, in truly personalised shopping experiences.",
"https://www.bulknationusa.com/","Bulk Nation USA | Premium Bulk Nuts, Candy, And So Much More","Bulk Nation is a specialty bulk food retailer dedicated to providing customers with an extensive selection of quality bulk food products. With a unique experience of over 3,000 specialty bulk food items such as dried fruits, nuts, flours and spices, coffees, teas, ancient grains, local raw honey, candies, Vegan, non gmo, and organic products.",
"http://smartflowersolar.com/","The world’s smartest solar solution | smartflower","With smartflower, you get a beautifully designed, easy-to-setup solar solution fully integrated with smart features for nearly effortless ownership.","http://smartflowersolar.com/app/uploads/2017/01/background-bubble-smartflower.jpg"
"http://solubag.cl/","Solubag – Bolsas biodegradables en agua",,
"https://www.ypack.eu/","YPACK | reduce, reuse, recover","YPACK is an EU-funded project which aims to scale up and validate two innovative food packaging solutions based on polyhydroxyalkanoate (PHA) to reduce food waste by prolonging food shelf life and by using by-products of the food industry to develop the packaging material.","https://www.ypack.eu/wp-content/uploads/2018/01/logo-100.png"
"https://blog.ambrosus.com/in-depth-the-madagascar-bourbon-vanilla-supply-chain-on-amb-net-7f42ab0f5c9e","In-Depth: the Madagascar Bourbon Vanilla Supply Chain on AMB-NET","To complement Ambrosus’ most recent publicly announced partnership with Premium Goods and use-case surrounding the traceability of…","https://cdn-images-1.medium.com/max/1200/1*glGEogfjW2kZrQ60aJ6wRg.jpeg"
"https://ambrosus.com/","Decentralised IoT Networks for Next-Generation Supply Chains","Ambrosus enables secure and frictionless dialogue between sensors, distributed ledgers and databases to assure quality, safety and origins of products.","https://ambrosus.com/wp-content/themes/Abrosus/assets/img/ambrosus-website-image.png"
"https://www.seafoodsource.com/news/environment-sustainability/blockchain-trialed-for-sea-cucumber-traceability-in-japan","Blockchain trialed for sea cucumber traceability in Japan","Blockchain technology – is being picked up in Japan to verify the traceability of high-end sea cucumber.",
"https://www.nutrasign.io/en/","NUTRASIGN",,
"https://www.sourcemap.com/","400 Bad Request",,
"https://www.food-interrupted.com/","Food Interrupted by Panera ","Food Interrupted, from Panera Bread, is a series about rethinking our food choices, and changing the industry from the inside out. ","https://static.wixstatic.com/media/164d1c_34da9fff090b4cb0b86ceaffd3006f1e%7Emv2.png"
"https://www.thehersheycompany.com/en_us/whats-inside.html","What’s Inside | The Hershey Company",,"/content/dam/grayscale/logos/logo/HERSHEYS_logo_primary-EBU_2014.jpg"
"https://www.whatsinmyfood.com/","Home",,
"https://digit.co/","Digit","Save money and pay off debt, all without thinking about it. Try Digit free for 30 days.","https://micro-cdn.digit.co/images/fb-share.17031c5c.png"
"https://vue.ai/ai-stylist/","AI Stylist for Fashion Retail Ecommerce Outfitting","VueStyle is an AI Stylist for Fashion Retailers | Styling and Outfitting Solution for Fashion Ecommerce Websites | Online Personal Stylist",
"https://www.smartaisle.io/","SmartAisle",,
"https://www.tastry.com/","Tastry – Drive Wine Sales With Targeted Recommendations",,
"https://www.advancingretail.org/solutions/caper","Caper","AI Powered Retail -Checkout made easy. Just toss it in, and leave.

With our next generation smart self-checkout cart, powered by deep learning &amp; computer vision, items are instantly detected as","https://www.advancingretail.org/sites/default/files/styles/thumbnail/public/logos/0_16.png?itok=Czf5aYah"
"https://www.adweek.com/agencies/hulu-reveals-the-strategy-behind-its-partnership-with-instagrams-viral-world-record-egg/","Sucuri WebSite Firewall - Access Denied",,
"https://www.theverge.com/2017/4/12/15259400/burger-king-google-home-ad-wikipedia","Burger King’s new ad forces Google Home to advertise the Whopper","Burger King is unveiling a horrible, genius, infuriating, hilarious, and maybe very poorly thought-out ad today that’s designed to intentionally set off Google Homes and Android phones.
The...","https://cdn.vox-cdn.com/thumbor/vWkGqlhwiRqIbNU1CKTt8SReaLU=/1x0:2054x1155/1600x900/cdn.vox-cdn.com/uploads/chorus_image/image/54213457/bk.0.png"
"https://www.kelloggs.com/en_US/brands/happy-inside.html#num=12",,,
"https://www.forbes.com/sites/walterloeb/2016/08/08/best-buy-focuses-on-shop-in-shop-sales-and-is-making-changes-for-growth/#66875e575bca","Best Buy Focuses On Shop-In-Shop Sales And Makes Changes For Growth","The electronics retailer's strategy of emphasizing stores within stores run by suppliers such as Samsung, Sony, Microsoft, AT&T and LG has resulted in better service -- at the suppliers' expense -- and given Best Buy a leg up in its fight against Amazon and other online competitors.","https://thumbor.forbes.com/thumbor/600x315/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F39051435%2F960x0.jpg%3Ffit%3Dscale"
"http://fortune.com/2016/09/22/pepsico-restaurant-kola-house/","http://fortune.com","Fortune 500 Daily &amp;amp; Breaking Business News ","http://fortune.com/img/misc/og-default.png"
"https://www.greenbiz.com/article/loops-launch-brings-reusable-packaging-worlds-biggest-brands","Loop’s launch brings reusable packaging to the world’s biggest brands","Why a quirky startup has attracted P&G, Unilever, Coke, Pepsi, Nestle, Mars, Clorox, Danone and 20 other brands to a platform for disruptive packaging.","https://www.greenbiz.com/sites/default/files/styles/panopoly_image_full/public/images/articles/featured/loop-group-shot.jpg?itok=lSfHwEiU"
"https://www.splosh.com/",,,
"https://www.festfoods.com/blog/2-new-cheese-snacks-are-grate-go","2 new cheese snacks that are ‘grate’ on-the-go","Bel Brands is at it again with two new cheese snacks that are ‘grate’ as a mid-afternoon energy boost or as a lunchbox nosh: Babybel®️ Cheese & Crackers and The Laughing Cow®️ Cheese Cups.","https://s3.amazonaws.com/cms.festfoods.com/files/article/2018-06/Bel%20Brands14.jpg"
"https://thesourcebulkfoods.com.au","The Source Bulk Foods | Organic Wholefoods | Health Food Store","The Source Bulk Foods has over 40 zero waste bulk food stores around Australia. Buy your wholefoods, health foods and superfoods in bulk!",
"https://allbulkfoods.com","Allbulkfoods.com -","Here at AllBulkFoods.com our business is providing you with excellent food, service and prices. If you buy one case or one pallet of bulk foods, we are here to help!",
"https://bulkboxfoods.com","Fill your kitchen with beautiful food and laughter","Fill your kitchen with beautiful food and laughter, while knowing you are getting the quality and value of farm to market food that your family deserves.",
"https://www.startup.si/en-us/startup/151/vinegar-and-ketchup-as-innovative-functional-foods","Vinegar and ketchup as innovative functional foods","By adding antioxidants, co-enzymes Q10 and natural sweetener stevia, the company Apis-Vita transforms products such as vinegar and ketchup into innovative functional foods.","http://www.startup.si/img/Izdelki/Opis-produkta_foto-kolaz.jpg"
"https://luckyironfish.com","Forbidden",,
"https://wholifoods.com/","Forbidden",,
"https://lrmonline.com/news/keeping-up-with-animation-trends-through-pixar-university/","Keeping Up With Animation Trends Through Pixar University","  Have you ever wondered how Pixar animators are able to stay current on animation trends despite working on one project over a long period of time with incre","https://lrmonline.com/file/2018/06/b6b.jpg"
"https://axonify.com",,,
"https://www.monsterinsights.com/","MonsterInsights - The Best Google Analytics Plugin for WordPress","MonsterInsights is the best Google Analytics plugin for WordPress. Setup Google Analytics for WordPress with just a few clicks. Over 12 million downloads.","https://www.monsterinsights.com/wp-content/uploads/2017/06/fb-og-image.png"
"https://www.booking.com/searchresults.html?aid=397594;label=gog235jc-1DCAEoggI46AdIH1gDaLsBiAEBmAEfuAEXyAEM2AED6AEB-AECiAIBqAID;sid=17c8ff66a97e2cdeb05450afd5a105c1;dest_id=-2140479;dest_type=city;highlighted_hotels=497786;nflt=ht_id%3D214%3Bht_id%3D219%3Bht_id%3D213%3Bht_id%3D229%3Bht_id%3D216%3Bht_id%3D209%3Bht_id%3D223%3Bht_id%3D212%3Bht_id%3D227%3Bht_id%3D215%3Bht_id%3D201%3Bht_id%3D208%3Bht_id%3D230%3Bht_id%3D232%3Bht_id%3D210%3Bht_id%3D220%3Bht_id%3D222%3Bht_id%3D224%3Bht_id%3D228;bhc_from_index=1;bhc_from_index=1","Help! Which hotel is best?","I found these great hotels on Booking.com and love them all. Help me decide which one to book!",
"http://europe-re.com/fmo-pop-up-concept-store-opening-in-gothenburg-se/65770","FÖMO pop-up concept store opening in Gothenburg (SE)","18 October is the official opening date for FOMO Store, a unique lifestyle pop-up concept in Molndal Galleria, Gothenburg’s newest shopping centre. A new shoppi","/uploads/europe/post_cover_images/65770/cover-65770.jpg"
"https://www.thefomofactory.com/","400 Bad Request",,
"https://www.beachub.com/work","WORK | THAILAND | BEACHUB","THE WORLD'S FIRST BEACHFRONT COWORKING/COLIVING VILLAGE ON THE BEAUTIFUL ISLAND OF KOH PHANGAN, THAILAND. OUR COWORKING AREA HAS PRIVATE A/C ROOMS, AND 100 DESK",
"https://www.wework.com/locations","Coworking, Office Space - All Locations | WeWork","WeWork transforms buildings into beautiful, collaborative workspaces. Get the space, community, and services you need to make a life, not just a living.","https://cdn.wework.com/6vy33zo2mgy3/5PTAyiMlckyYko8aIMGykm/688171e9dc6ea2025e62a522125b9ba4/OG-office.jpg?auto=compress%2Cformat&w=1200&h=600&fit=crop"
"https://werk.co/","A Flexible Future of Work Is Here | Werk","Werk's technology puts flexibility insights and data into the hands of companies to help them work smarter. Request a demo to learn more.","https://werk.co/images/meta-general.jpg"
"https://www.knotel.com","Knotel | Homepage","Knotel is changing the way companies find, design, and build office space, while offering operational flexibility which lowers risk as your company changes. ","http://www.knotel.com/static/assets/knotel-4095f2fdcefbb2d3ee2eb6cb366b2986.jpg"
"https://sweatco.in/","Sweatcoin: it pays to walk!","Convert your steps into currency to spend on things you'll love","https://sweatco.in/assets/sharing.d7b4cb6572.jpg"
"https://www.netflix.com/pt-en/title/80988062","Black Mirror: Bandersnatch | Netflix Official Site","In 1984, a young programmer begins to question reality as he adapts a dark fantasy novel into a video game. A mind-bending tale with multiple endings.","https://occ-0-2267-360.1.nflxso.net/dnm/api/v5/rendition/b708981dc6520758139a4bc8e4d271c113cf863c/AAAABYDaZIrQjWwjWSiZPgUENRZ_KCFeIF4WE4t5YC4gBSd9WILZcSatQ6ZbRrSzf7q_OWh96-pWW_ha4m4vNGgaVXPdpaRLDrSgjefLKDDKpaJcc_CfAjx4jGreG_N0GVoogBx4_42xK9c6ZhgULgwl4U-GM7h5w5lDV3atK-TiLL2wfrMZRAa94Yn_Qw0YffZCBEDlbImaQw.jpg"
"http://www.ynap.com/news/net-a-porter-mr-porter-announce-enhanced-personal-shopping-services-for-top-customers/","NET-A-PORTER & MR PORTER announce enhanced personal shopping services for top customers | YOOX NET-A-PORTER GROUP",,
"https://olioex.com/","OLIO - The Food Sharing Revolution","Welcome! OLIO connects neighbours and local shops so surplus food & other household items can be shared. Featured by the BBC, Wired, TimeOut","https://olioex.com/wp-content/uploads/2017/03/facebook-share.png"
"https://www.youtube.com/watch?v=IIW3l-ENHdA","2018 Super Bowl “Tide Ad” Commercial Compilation","Here are the links to the original videos by Tide I do not own any of these videos, they are all owned by tide https://www.youtube.com/watch?v=doP7xKdGOKs&t=...","https://i.ytimg.com/vi/IIW3l-ENHdA/maxresdefault.jpg"
"https://www.businessoffashion.com/articles/bof-exclusive/inside-farfetchs-store-of-the-future","Attention Required! | Cloudflare",,
"https://movingworlds.org/international-corporate-volunteering","International corporate volunteering programs - from pilot to scale | MovingWorlds.org","MovingWorlds helps leading corporations build scalable programs that deliver triple-bottom line benefits.","//images.ctfassets.net/e6h4r2c2hknq/4Se8FehupGeoc4uWQ2S46W/446f25aaa8d256ce0d268e489633310c/Lynn-Thurston-Blog-Post-Photos-2-e1517436437572.jpg?fit=fill&w=1200&h=630"
"https://pay.google.com","Redirecting...",,
"https://brandless.com/","Better Stuff. Fewer Dollars. It's That Simple.","Brandless creates high-quality stuff at an incredible value. Get everything you need for the whole family and give back at the same time. Shop & save today.","https://brandless-marketing.imgix.net/social-sharing-shelf.jpg"
"https://www.youtube.com/watch?v=26qmJzTCRG4","NOTHING BEATS A LONDONER - NIKE AD (TONE P & MARK RONSON FEAT. PROD)","Check out this Nike Ad as our record with Giggs prod. by Tone P & Mark Ronson is featured in this new Nike Campaign for London Athletes & Entertainers. @offi...","https://i.ytimg.com/vi/26qmJzTCRG4/maxresdefault.jpg"
"https://www.realfoodrealstories.org/","400 Bad Request",,
"https://www.youtube.com/playlist?list=PLtF-ZfyeXJcew2fYXmaLEdggPdKdjn7kL","MAKE IT WITH IDRIS ELBA - YouTube","Whatever you dream of, make it a reality with Squarespace.","https://i.ytimg.com/vi/gD-yffxKvMM/hqdefault.jpg?sqp=-oaymwEWCKgBEF5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAnjXIbiiUiIT8LmEGoTLpOcs__3g"
"https://www.joinforge.com/","Forge – Work Life Balanced",,
"https://www.thenational.ae/business/economy/carrefour-s-new-school-will-train-2-500-managers-for-the-digital-age-of-retail-1.821752","Carrefour's new school will train 2,500 managers for the digital age of retail","Retail Business School is designed to boost customer experiences and lower prices","https://www.thenational.ae/image/policy:1.821746:1549351030/image.jpg?f=16x9&q=0.6&w=1200&$p$f$q$w=70c86c9"
"https://www.compt.io/?ref=betalist","IntegrityError",,
"https://betalist.com/startups/wemonty","wemonty: Everything necessary, delivered intelligently","Everything necessary, delivered intelligently","https://betalist.imgix.net/attachments/d2cadd09-358e-4209-9a6e-acaddc1e0ed3/image.jpg?ixlib=rb-1.1.0"
"https://www.miele.co.uk/domestic/1563.htm?info=200107190-ZPV","WiFiConn@ct - Washing machines",,
"https://www.bloomberg.com/news/articles/2018-11-05/senior-citizens-are-replacing-teenagers-at-fast-food-joints?srnd=premium","Bloomberg - Are you a robot?",,
"https://www.udemy.com","Access to this page has been denied.",,
"https://www.skillshare.com/","Online Classes by Skillshare | Start for Free Today","Skillshare is a learning platform with online classes taught by the world's best practitioners. Personalized, on-demand learning in design, photography, and more.","https://static.skillshare.com/assets/images/logo-1200-630.jpg"
"https://www.bizjournals.com/bizwomen/news/latest-news/2018/06/craft-retailer-joann-tests-new-store-concept.html",,,
"https://www.roam.co/business","Our Business Offerings | Roam Coliving","Available in San Francisco, Tokyo, Bali, Miami and many more soon.","https://www.roam.co/images-og/home.jpg"
"https://www.theassemblage.com/","Collaboration for the future of humanity - The Assemblage","The Assemblage provides coworking, coliving, social spaces and natural habitats to those exploring the evolution of humanity through positive impact. Welcome to the age of assembly.","https://www.theassemblage.com/wp-content/uploads/2018/07/ta-share-img.jpg"
"https://retaildesignblog.net/2018/12/14/a-new-spot-for-digital-creators-in-warsaw/","» A new spot for digital creators in Warsaw!",,
"https://www.toptal.com/careers","Remote Tech Jobs with Toptal","Toptal is a rapidly growing tech start-up connecting the top 3% of talent in business, design, and technology to top professional clients.","https://bs-assets.toptal.io/blackfish-assets/public/base/images/logo/og_image_default_f7e298.png"
"https://youtu.be/NBYsK571vF0","L.L.Bean: Be an Outsider at Work #BeanOutsider","Ready to #BeanOutsider at work this summer? L.L.Bean has teamed up with Industrious and started a movement to get outside at work. Now we’re kicking things o...","https://i.ytimg.com/vi/NBYsK571vF0/maxresdefault.jpg"
"https://www.forbes.com/sites/elizabethrushe/2018/11/22/the-beyond-burger-is-now-available-at-tesco-the-uks-largest-supermarket/#260250791461","The Beyond Burger Is Now Available At Tesco, The UK's Largest Supermarket","The Beyond Burger, the plant-based bleeding burger made with pea protein, is now available in the UK in Tesco stores.","https://thumbor.forbes.com/thumbor/600x315/https%3A%2F%2Fblogs-images.forbes.com%2Felizabethrushe%2Ffiles%2F2018%2F11%2FBeyond-Burger_Cross-Section-1200x800.jpg"
"https://www.apyball.com/","apyball® Bio Energy Balls","A apyball é uma linha jovem e moderna de snacks saudáveis simples, autênticos e conscientes.  Feitas a partir de ingredientes crus, naturais e biológicos, isentos de glúten, sem açúcar refinado e sem lactose. Pertencemos a uma nova geração que luta por um futuro sustentável, saudável e ecológico. ",
"https://www.mcdonalds.pt/ementa/produtos/mcveggie/","McDonald's Institucional.","Site oficial da McDonald's Portugal. Encontre as novidades e a nossa ementa, ofertas de emprego e toda a informação sobre a qualidade, a nutrição e a Fundação Infantil Ronald McDonald.","https://www.mcdonalds.pt/media/53722/logo_300x300.jpg"
"https://www.mobilemarketer.com/news/marriott-makes-more-room-for-chatbots-to-enhance-guest-experiences/510117/"," Marriott makes more room for chatbots to enhance guest experiences","The world's largest hotel chain was an early user of Facebook Messenger and Slack. Now it's adding Google Assistant, WeChat, AI capabilities and more.
","https://www.mobilemarketer.com/user_media/cache/f2/67/f267ee63abb39826c75f23c8d487558d.jpg"
"https://www.lemonade.com/","Lemonade Home & Renters Insurance | Protect The Stuff You Love","Lemonade offers renters and home insurance powered by tech and driven by social good. ❤ We promise zero paperwork and instant everything by replacing brokers and bureaucracy with bots and machine learning. Get a Lemonade insurance policy in 90 seconds, starting at $5/month.","http://www.lemonade.com/assets/lemonade-share-image-ad9d7846f31685bfb4af89f018e4dd5d460f4e73768a8fd500bfc1f069ff853a.png"
"https://www.walmart.com/cp/1908812?u1=IS,SofADaVergaraJustMadetheUnder-$40JeansYourButtHasAlwaysWanted,lreilly805,FAS,ART,3417806,201902,I&oid=645206.1&wmlspartner=93xLBvPhAeE&sourceid=29947390703266111865&affillinktype=10&veh=aff","Sofia Jeans by Sofia Vergara - Walmart.com","Shop for Sofia Jeans by Sofia Vergara at Walmart.com. Save money. Live better.","http://sphotos-b.xx.fbcdn.net/hphotos-ash4/229244_10150189115584236_162217_n.jpg"
"https://www.news.com.au/lifestyle/food/drink/cocacola-launches-new-adult-drink-that-mixes-coffee-with-soft-drink/news-story/b6fd65b314ea2c92ced28824b47df549?utm_source=DesignTAXI&utm_medium=DesignTAXI&utm_term=DesignTAXI&utm_content=DesignTAXI&utm_campaign=DesignTAXI","Access Denied",,
